run,time,nnz,rmse
41,850.0036039,8085230,1.603298052
41,860.0019619,8085230,1.603298052
41,870.0011764,8113192,1.60486286
41,880.0020778,8136038,1.604264167
41,890.000932,8171789,1.603208562
41,900.0033193,8190876,1.602510595
41,910.0022578,8210933,1.601911486
41,920.00003,8244238,1.600707365
41,930.0009754,8288976,1.599073979
41,940.0018594,8326206,1.597904481
41,950.0018036,8379037,1.595935427
41,960.0030451,8430149,1.594250655
41,970.000175,8454141,1.593604957
41,980.0008371,8473202,1.593177497
41,990.0000789,8521136,1.591628036
41,1000.001873,8546020,1.591207069
41,1010.001251,8557656,1.591253802
41,1020.000288,8604416,1.58965454
41,1030.002151,8619058,1.589534482
41,1040.001554,8646587,1.588790031
41,1050.003087,8670784,1.588410822
41,1060.001187,8691718,1.588128533
41,1070.002126,8720337,1.587448439
41,1080.003789,8744475,1.586920464
41,1090.000612,8772292,1.586196716
41,1100.000755,8792239,1.585904327
41,1110.00225,8816519,1.585453701
41,1120.000511,8829219,1.585554829
41,1130.00113,8846165,1.585123353
41,1140.00059,8849513,1.58541414
41,1150.003786,8855526,1.585600253
41,1160.002982,8861018,1.585972407
41,1170.001819,8874716,1.58596008
41,1180.002564,8881820,1.58607387
41,1190.001724,8889503,1.586392736
41,1200.002988,8892349,1.586731081
42,10.00286508,1027048,2.165196223
42,20.00345111,1586892,2.170736122
42,30.00201941,1841988,2.174248722
42,40.00307012,1909479,2.178864041
42,50.00258207,1909479,2.178864041
42,60.00111794,1909479,2.178864041
42,70.00312614,1909479,2.178864041
42,80.00128913,1909479,2.178864041
42,90.00077558,1909479,2.178864041
42,100.0037167,1910641,2.179503119
42,110.001266,1928215,2.186241329
42,120.0004768,1935676,2.185823602
42,130.002053,1953349,2.18702625
42,140.0024226,1970337,2.186472748
42,150.0029702,1978635,2.187284844
42,160.0006518,1988272,2.187924087
42,170.0019326,1996143,2.188759729
42,180.0002351,2017278,2.188542175
42,190.0028124,2043070,2.188177341
42,200.0043805,2060520,2.188485604
42,210.0025878,2079008,2.189554045
42,220.0018957,2105972,2.190494921
42,230.001924,2125049,2.190728447
42,240.0007513,2142243,2.190716795
42,250.0023985,2154359,2.191536939
42,260.0039926,2163734,2.192809184
42,270.0000961,2184004,2.192593246
42,280.001013,2199730,2.193722584
42,290.002058,2213966,2.194572807
42,300.000005,2219333,2.19494734
42,310.0022614,2235700,2.195011365
42,320.0033531,2252165,2.195779211
42,330.0023963,2258657,2.196560495
42,340.0026436,2270674,2.197673551
42,350.0003202,2284231,2.198362939
42,360.0028594,2298861,2.199008205
42,370.0007949,2308825,2.199855682
42,380.0008986,2322782,2.200969568
42,390.0024788,2330991,2.201631819
42,400.0027595,2340018,2.202473333
42,410.0009897,2354428,2.203702729
42,420.000885,2365079,2.204094973
42,430.0023758,2375525,2.204396781
42,440.0032983,2388201,2.204898312
42,450.0028014,2398640,2.205483229
42,460.0016172,2404401,2.206152341
42,470.003875,2406201,2.206417594
42,480.0015337,2417367,2.206387777
42,490.0029452,2419457,2.207028258
42,500.0050626,2422748,2.207572571
42,510.0012262,2425032,2.208140979
42,520.0018051,2433717,2.208659539
42,530.0017636,2436070,2.209092541
42,540.0037758,2440486,2.209754862
42,550.0015159,2444666,2.210566985
42,560.0027695,2446280,2.210928316
42,570.0032008,2448765,2.211389403
42,580.0029297,2451417,2.211683006
42,590.0038269,2452297,2.211850272
42,600.0019963,2454447,2.212389585
42,610.0002694,2458118,2.213159392
42,620.003047,2461683,2.214036182
42,630.0000086,2465701,2.21471122
42,640.0038226,2472371,2.215707476
42,650.0011947,2474852,2.216324545
42,660.0018344,2477594,2.216831846
42,670.0025318,2480509,2.21740571
42,680.0015526,2483558,2.218129043
42,690.001852,2485495,2.218505578
42,700.0073619,2488003,2.219048584
42,710.0024815,2490345,2.219444729
42,720.0022898,2492167,2.219822237
42,730.0008605,2493908,2.220203593
42,740.0044258,2495830,2.22066071
42,750.0007248,2497060,2.220898063
42,760.0024896,2497893,2.221026675
42,770.0019448,2498828,2.221230356
42,780.0003586,2499302,2.22132781
42,790.0005734,2625138,2.194377324
42,800.003047,3651944,1.997698099
42,810.0023186,4018107,1.958089803
42,820.001538,4140623,1.949565981
42,830.0024056,4140623,1.949565981
42,840.0008953,4140623,1.949565981
42,850.002223,4140623,1.949565981
42,860.0008745,4140623,1.949565981
42,870.0030527,4140623,1.949565981
42,880.0010922,4157451,1.951217933
42,890.0026875,4164856,1.950328204
42,900.0028529,4189316,1.948651825
42,910.0026066,4199684,1.947680526
